,who,text
57,More than 200 babies in England,"More than 200 babies in England might have survived if they had been given better maternity care by NHS Trust, BBC learns https://t.co/kCdUjqDnY1"
58,Russia,"Russia says it will ""drastically reduce"" assault on Ukraine's capital Kyiv, where its advance is stalled https://t.co/OQQ128oy8i"
59,0,"Police recommend 20 fines should initially be issued over Downing Street parties that breached Covid lockdown rules

https://t.co/7m7iniTyF1"
60,0,EU signs US gas deal to curb reliance on Russian energy https://t.co/2BzhjWU8Wl
61,0,"Drummer with US rock group Foo Fighters, Taylor Hawkins, dies aged 50, band announces https://t.co/H6bPbfQN9h"
62,0,"The Wanted star Tom Parker dies aged 33 after being diagnosed with terminal brain cancer
https://t.co/zuyb1Nz1oP"
63,0,"""The list of those I have hurt is long"": Actor Will Smith resigns from Oscars Academy after slapping Chris Rock https://t.co/IQscPvsWj5"
64,0,Tory MP David Warburton suspended from the parliamentary party pending investigation into allegations about conduct https://t.co/vu6MpUjSes
65,0,"""This is a very tragic situation"": At least six people dead after automatic gunfire in busy nightlife area of Sacramento in California

https://t.co/Hml2BOIoNU"
66,0,Shell to shut all petrol stations in Russia and will stop all spot purchases of oil from the country https://t.co/jd2zPE1agQ
67,0,"Second attempt to evacuate people trapped in besieged Ukrainian city of Mariupol failed, as reports say ceasefire broken again

https://t.co/DOpa1IkoaN"
68,McDonald ’s,"McDonald’s will temporarily close all its restaurants in Russia, saying it “cannot ignore the needless human suffering unfolding in Ukraine”

https://t.co/1W0TgllgtN"
69,0,"Two million people have now fled Ukraine into neighbouring countries, UN tells BBC

 Live updates here: https://t.co/3DA2qR3J2D"
70,0,"Russian strikes hit maternity and children's hospital in Ukrainian city of Mariupol, officials say https://t.co/0tnc9Y3kYk"
71,0,"Man given genetically modified pig heart in world-first surgery dies two months after operation, US hospital says https://t.co/FBTUstXJ46"
72,0,US bans Russian oil imports as part of international moves against energy sector to punish Moscow for invading Ukraine https://t.co/2TzOZFl7CQ
73,0,"Twitter's board agrees to $44bn takeover by Elon Musk, who has promised to ""unlock"" the social media giant's potential https://t.co/ObcThxnJlX"
74,0,"EU unveils plan to ban all Russian oil imports in major new sanctions package over Moscow's war in Ukraine

Follow latest here https://t.co/Z9eEeqsJlN"
75,0,"Ketanji Brown Jackson to become first black female justice in the 233-year history of US Supreme Court after Senate confirmation 

https://t.co/SIWmPuFwfo"
76,0,Russia suspended from UN Human Rights Council https://t.co/BdI7X8up20
77,MI5 agent,"MI5 agent alleged to have exploited his status to abuse a partner cannot be named by the BBC, High Court rules https://t.co/NCuZGPFNAt"
78,0,Scientists may have found the first fossil remains of a dinosaur that died on the very day a huge asteroid collided with the Earth https://t.co/7d4T7tMCid
79,0,Ed Sheeran wins High Court copyright battle over 2017 hit Shape of You https://t.co/nvXkG9coxb
80,0,Tesla boss Elon Musk buys 9.2 Percent stake in Twitter worth almost $3bn https://t.co/A6dkPkBo5l
81,Lam,"She held on as Hong Kong's leader through mass protests. Now, Carrie Lam says she won't seek a second term in power https://t.co/hlnmE83Yy1"
82,0,"""It's time to stop burning our planet and start investing in the abundant renewable energy""

UN Secretary General Antonio Guterres says ""leaders must lead"" but also urges people to ""demand that renewable energy is introduced now at speed and at scale""
https://t.co/4Pl8HEFbF1 https://t.co/VOGdCyptVB"
83,we,"UN says it's ""now or never"" to avoid disastrous climate change - but we can do it if we make drastic changes to how we live

https://t.co/bQwOSsYUYk"
84,0,Obituary: Legendary EastEnders actress June Brown https://t.co/3KwTYvJaAv
85,0,"June Brown, who played Dot Cotton on BBC soap EastEnders for more than 30 years, dies aged 95 https://t.co/OJtze66Cr1"
86,0,"BBC witnesses more evidence of atrocities against civilians near Kyiv, as Ukraine accuses Russia of genocide https://t.co/GN1rzN0b5c"
87,0,"Russian warship Moskva has sunk, state media says, a day after it was reported damaged by fire or a Ukrainian missile strike
https://t.co/MEzEbijkrC"
88,0,"Blood money being paid for Russian oil, Ukraine's President Zelensky tells BBC

https://t.co/WFIJNARXHt"
89,0,"Some UK asylum seekers to be sent 4,000 miles away to Rwanda and military to take control of patrolling Channel, PM Boris Johnson announces
https://t.co/YeJwtYvB43"
90,0,Police arrest man suspected of shooting 10 commuters in rush hour attack at New York City subway station https://t.co/0O86HPN0Gk
91,0,IS fanatic Ali Harbi Ali given whole-life jail sentence for murdering UK MP Sir David Amess https://t.co/yMYBGJGmF8
92,0,UK Prime Minister Boris Johnson and Chancellor Rishi Sunak will be fined over Downing Street lockdown parties https://t.co/gTBBsa0bQw
93,0,"DJ Tim Westwood steps down from Capital Xtra show following sexual misconduct claims
https://t.co/dU5T6ZhI56"
94,0,"Emmanuel Macron set for clear victory in France’s presidential election, beating far right candidate Marine Le Pen, projections show https://t.co/eT5ZLZRguL"
95,0,"Government policies of discharging patients from hospital to care homes in England at start of pandemic were ""unlawful"", High Court judges rule https://t.co/WGs14LNBqW"
96,Parish,"Neil Parish says he's resigning as an MP after admitting he watched pornography twice in the House of Commons 

https://t.co/gz7CGh721v"
97,0,"Conservative MP Neil Parish, who is being investigated for allegedly watching pornography in the House of Commons, expected to resign - BBC told

https://t.co/gnEDqFemXz"
98,0,British-born Islamic State militant Alexanda Kotey sentenced to life over murders of American hostages in Syria https://t.co/jG7FdBIofT
99,0,"Former Wimbledon champion Boris Becker jailed for two and half years for hiding assets to avoid paying debts

https://t.co/afBKGESjAx"
100,0,"Conservative MP Neil Parish investigated for allegedly watching pornography in the House of Commons

https://t.co/wcJuJW8BEg"
101,0,"US President Biden proposes record $33bn aid package to help Ukraine, hours after Russia warns West against sending more weapons 

https://t.co/DO0CGL4KH1"
102,0,"Man charged with murders of four family members stabbed to death in south-east London
https://t.co/bJI8ntsXma"
103,0,"Evacuation of civilians trapped in a steel plant in the Ukrainian city of Mariupol is underway, UN says

Follow the latest https://t.co/o9q503pUrp"
104,0,"British national killed in Ukraine and second is missing, Foreign Office says

https://t.co/ZfZaPNcqOk"
105,0,"Ex-Radio 1 DJ Tim Westwood accused of sexual misconduct by multiple women, in joint investigation by BBC and Guardian
 
https://t.co/oRt5O2cHCx"
106,0,"Will Smith banned from Oscars gala and other Academy events for 10 years after slapping comic Chris Rock at the Oscars

https://t.co/1zvNALhFUI"
107,UK Chancellor Rishi Sunak 's wife Akshata Murty,"UK Chancellor Rishi Sunak's wife Akshata Murty announces she will pay UK taxes on her overseas income, following a row over her non-dom status
https://t.co/P6KJAmaCl2"
108,0,"Russian President Vladimir Putin's daughters targeted by new UK sanctions

https://t.co/ZZe9eLKqBv"
109,0,Man jailed for life with minimum term of 36 years for murder of London primary school teacher Sabina Nessa https://t.co/B5EleI8iNf
110,0,Dozens feared dead and more than 100 wounded after missile strike on railway station used to evacuate civilians in Ukraine https://t.co/6iNHGPR2kJ
111,0,UK Prime Minister Boris Johnson is in Kyiv for talks with Ukraine's President Zelensky  https://t.co/bUlC7310Yp
112,0,"New York police name Frank James, 62, as person of interest in subway shooting that injured more than 20 https://t.co/CzDAmW5S2u"
113,0,"Multiple people injured in subway shooting in Brooklyn, New York https://t.co/y3P9VSSFlu"
114,0,"UK police issue at least 30 more Downing Street lockdown fines

https://t.co/DtA4rCWh0e"
115,0,UK MP Imran Ahmad Khan guilty of sexually assaulting 15-year-old boy at party in 2008 https://t.co/FvJpH5HWKh
116,0,"Man found guilty of murdering UK MP Sir David Amess, who was stabbed more than 20 times during constituency surgery https://t.co/D0pS3HjKFm"
117,0,"Russia bans UK Prime Minister Boris Johnson and other senior ministers from entering Russia over the UK's ""hostile"" stance on the war in Ukraine https://t.co/cwXPnnoxun"
118,0,"Report into fatal shooting by actor Alec Baldwin finds production company showed ""plain indifference"" to employee safety

https://t.co/bXLEypxFzV"
119,Sturgeon,"Police say they have spoken to First Minister Nicola Sturgeon after she was filmed apparently breaching Scotland's face mask rules and no further action necessary
 
https://t.co/LiSP3lkjME"
120,0,"Seven people killed in missile strikes in western Ukrainian city of Lviv, officials say, in a marked escalation in attacks

https://t.co/KNuxi0pps9"
121,0,"Mother, stepdad and teenage boy guilty of murdering five-year-old Logan Mwangi https://t.co/NfuTg587pY"
122,0,James Watson found guilty of murdering six-year-old Rikki Neave 28 years ago https://t.co/bweWrNAc8v
123,0,"Russian President Vladimir Putin abandons plan to storm last Mariupol hold-out

https://t.co/m2nMSnQlxA"
124,0,"A woman who has given more than £2m to the Conservative Party was listed as a director of a company secretly owned by a sanctioned Russian oligarch, documents seen by the BBC indicate https://t.co/G7UKMRFkwY"
125,0,UK MPs approve inquiry into whether Prime Minister Boris Johnson misled Parliament over parties held during Covid lockdown https://t.co/Xu4Rnxeovt
126,0,"Intense fighting north west of Kyiv as reports suggest bulk of Russian forces just 25km from the Ukrainian capital

Follow live updates: https://t.co/JaY0cU4mIz"
127,0,"Three people, including one child, killed in maternity hospital bombing in Mariupol, says Ukraine official https://t.co/4KhM1fryEz"
128,0,"At least 35 people killed and 134 injured in Russian missile attack on military training base in western Ukraine, Lviv regional governor says

Follow live updates: https://t.co/axr4WfQ50L"
129,0,"A China Eastern Airlines Boeing 737 plane carrying 133 people on board crashed in Guangxi province, Chinese state media is reporting

https://t.co/YvY6H2voZe"
130,Usmanov,Russian billionaire and ex-Arsenal shareholder Alisher Usmanov says he ditched UK mansions before sanctions came into force https://t.co/PIrvogiCDC
131,0,"London Metropolitan Police's approach to tackling corruption within its ranks is ""fundamentally flawed"", watchdog finds https://t.co/A9jjwZLqCc"
132,0,"North Korea tests banned intercontinental missile for first time since 2017, according to South Korea https://t.co/IkzVRF82UA"
133,0,"Madeleine Albright, first woman to become US secretary of state, dies aged 84 https://t.co/hfQvaXTqTw"
134,0,"Gas incident closes London Aquatics Centre

https://t.co/hT1OMscwgD"
135,0,"UK prices rose by 6.2 Percent in the 12 months to February - the fastest for 30 years - as fuel, energy and food costs surged

https://t.co/iyv2NxnDw0"
136,0,"World number one Ashleigh Barty has announced her retirement from tennis to ""chase other dreams"" – aged just 25 https://t.co/gU1OYtKIDX"
137,0,British-Iranian nationals Nazanin Zaghari-Ratcliffe and Anoosheh Ashoori back in UK after years of Iranian detention https://t.co/QwPQShFmTu
138,0,"US President Joe Biden calls Russia's Vladimir Putin a ""war criminal"", something the Kremlin says is ""unforgivable rhetoric"" https://t.co/L4aWI1nTsD"
139,British - Iranian Nazanin Zaghari - Ratcliffe,"British-Iranian Nazanin Zaghari-Ratcliffe is on her way home to UK after nearly six years in detention in Iran, says MP

https://t.co/Zme425Y3MZ"
140,0,"Rachael Blackmore makes history and becomes first female jockey to win Cheltenham Gold Cup

https://t.co/oPxclI8e3e"
141,0,"Wayne Couzens, the police officer who killed Sarah Everard, charged with four counts of indecent exposure that predate her murder

https://t.co/YuEhpdvn3b"
142,Abramovich,"Chelsea FC owner Roman Abramovich says he is selling the club with ""net proceeds"" to go to charitable foundation to help victims of war in Ukraine

https://t.co/vDYkDh40xo"
143,0,"Russian missile strike hits TV tower in Ukrainian capital Kyiv, killing five people, emergency services say https://t.co/x1tq8waWzQ"
144,0,"Fifa and Uefa ban all Russian football clubs and national teams from all competitions

https://t.co/3Jy7FzI4DP"
145,0,"BP to offload 19.75 Percent stake in Russian state-owned oil firm Rosneft after Russia's ""act of aggression in Ukraine"" https://t.co/eHxdNi86db"
146,EU,"EU to provide weapons to Ukraine, close its airspace to Russian flights and ban two Russian state media outlets

Follow live updates https://t.co/R7OaAgKfy8"
147,0,"Ukraine forces battle Russian troops on streets of second-largest city, Kharkiv, officials say. Follow live updates https://t.co/UuSJ2owj8G"
148,0,"EU, US and allies agree to cut off a number of Russian banks from main international payment system Swift https://t.co/j5KVLlmNzM"
149,0,"Chelsea's Russian owner Roman Abramovich to hand over ""stewardship and care"" of club to its charitable foundation https://t.co/OUIQJCevwj"
150,0,Poland refuses to play next month's 2022 World Cup qualifier against Russia over Ukraine invasion https://t.co/Syhilf1NvQ
151,0,British Airways cancels all short-haul flights from Heathrow Airport until midday amid ongoing technical issues  https://t.co/w0WCYn2NMU
152,0,"UK to introduce sanctions against Russian President Vladimir Putin and Foreign Minister Sergey Lavrov following invasion of Ukraine 

https://t.co/pSN79C5iSc"
153,0,Man pleads guilty to murdering London primary school teacher Sabina Nessa https://t.co/dFIQmiQSlB
154,0,"President Joe Biden will nominate first black female judge to the Supreme Court, Judge Ketanji Brown Jackson, US media reports https://t.co/EdjPhyjIjW"
155,0,Champions League final moved from Russia to France following invasion of Ukraine https://t.co/bVAmnmXoXv
156,0,"President Volodymyr Zelensky confirms pre-dawn missile strikes, targeting both military and civilian sites in Ukraine

https://t.co/SiDSDcqyBX"
157,0,Russia's President Vladimir Putin announces a 'special military operation' in eastern Ukraine in televised speech https://t.co/CmtXJCIKob
158,0,"Russia could start 'major war in Europe' any day now, Ukraine's president warns in late-night speech to nation https://t.co/6Xczg9qmZR"
159,0,"State of emergency to be declared in Ukraine lasting 30 days, country's top security official says https://t.co/VrNtI0lLRq"
160,0,"Scotland's legal Covid restrictions, including the wearing of face coverings, will end on 21 March 

https://t.co/rxDBhD1eK8"
161,0,"UK imposes sanctions on five Russian banks and freezes assets of three wealthy individuals, Prime Minister Boris Johnson announces https://t.co/IlB8r2Np7n"
162,0,"Russia to recognise the independence of two breakaway regions of Ukraine controlled by Russian-backed separatists, in a move likely to escalate fears of an invasion

https://t.co/HCzGgyo0fO"
163,0,"Free mass lateral flow testing will stop on 1 April, Boris Johnson says 

UK PM also says from 1 April the government will ""no longer recommend use of voluntary Covid status certification""

https://t.co/8FBT0P8zqD https://t.co/5sTHX0sP6e"
164,0,"""We will remove all remaining domestic restrictions in law""

UK PM Boris Johnson announces end to the legal requirement to self-isolate after positive Covid test 

 https://t.co/VBg7XQVop3 https://t.co/p2JFJ9Z6Qp"
165,0,"Legal requirement to self-isolate after positive Covid test in England to end on Thursday, UK PM Boris Johnson confirms https://t.co/x645cJImgZ"
166,0,Over-75s and the most vulnerable over-12s across UK will be offered another Covid booster jab from spring https://t.co/EedOA66IB3
167,0,"Jamal Edwards, founder of the SBTV YouTube channel which helped launch Dave, Ed Sheeran and Jessie J, has died at 31 https://t.co/ockxp9QuNP"
168,0,"The Queen has tested positive for Covid and has ""mild cold-like symptoms"" but expects to carry out light duties this week, says Buckingham Palace https://t.co/RmIgwoReTq"
169,0,"One of the passengers missing aboard a ferry that caught fire near Greece on Friday is found alive, authorities say https://t.co/WGNISvgQRt"
170,0,"If Ukraine is invaded by Russia the shock will “echo around the world"", says UK Prime Minister Boris Johnson https://t.co/CyVdspsnWW"
171,0,Great Britain stripped of silver medal in men's 4x100m relay at Tokyo Olympics after team member CJ Ujah found to have committed doping violation https://t.co/e2kFkX4akM
172,0,"New red weather warning issued for Storm Eunice, covering London and the south-east of England - follow live updates https://t.co/AgkjM3HdUm"
173,0,Storm Eunice warning upgraded to red - meaning danger to life from flying debris - for parts of the UK on Friday  https://t.co/DN3NprFQyu
174,0,"On-the-run sex offender Paul Robson caught in Skegness, England, by police four days after absconding from open prison https://t.co/2ScxMWexXn"
175,0,Man killed in Sydney shark attack named locally as 35-year-old British diving instructor Simon Nellist https://t.co/XSGVM5y8Y7
176,0,"Children aged between five and 11 in England to be offered low-dose Covid vaccine, UK government says, after similar move in Scotland and Wales

https://t.co/geCK9sQLmB"
177,0,Police to investigate claims that Prince Charles' charity offered honours help to Saudi citizen https://t.co/j81R2EbkWf
178,0,"Prince Andrew and Virginia Giuffre reach out-of-court settlement over civil sex assault claim filed in US  

https://t.co/1w29LTnFvu"
179,Djokovic,"Novak Djokovic says he would rather skip future tournaments than be forced to get a Covid jab, in an exclusive BBC interview https://t.co/vLNeBvgp0M"
180,0,Canadian PM invokes Emergencies Act for first time to crack down on anti-vaccine mandate protests https://t.co/09GnASpqcb
181,0,"""A crucial window for diplomacy"" - Joe Biden and Boris Johnson say during joint call that hope remains for diplomatic solution to Ukraine crisis https://t.co/Y9NBVnkpEE"
182,0,Canadian police move in to clear last protesters occupying key bridge crossing to the US https://t.co/ir2zmD1ICd
183,0,"UK PM Boris Johnson has received questionnaire from police as part of inquiry into lockdown parties

https://t.co/I7oZgoyDtq"
184,British nationals in Ukraine,"British nationals in Ukraine should leave the country now, Foreign Office advises https://t.co/v4OxUzx3Si"
185,0,"State of emergency declared in Ontario, Canada over trucker protest, as rule breakers threatened with $100,000 fines and jail time

https://t.co/vEFwxhDbxI"
186,Home Secretary Priti Patel,"Home Secretary Priti Patel has released a statement thanking Dame Cressida Dick for ""the nearly four decades that she has devoted to serving the public""

https://t.co/s9WB6Xc3kr https://t.co/6m3ihHDnVY"
187,Khan,"London mayor Sadiq Khan says he made clear the scale of change needed ""to root out racism, sexism, homophobia, bullying, discrimination and misogyny” in the Met Police

He says he was ""not satisfied"" with Dame Cressida's response

https://t.co/QrNuJdlgx3 https://t.co/4Ol9wlYnmv"
188,0,"Dame Cressida Dick to step down as head of the Met Police, BBC told https://t.co/KUinUa0ydi"
189,0,"Prince Charles tests positive for Covid-19 and is self-isolating, Clarence House says https://t.co/qtH28oovsv"
190,0,Metropolitan Police to review decision not to investigate No 10 quiz after Boris Johnson photo leak https://t.co/pphm5KIWDQ
191,0,Photo published showing UK Prime Minister Boris Johnson standing next to bottle of sparkling wine at what appears to be Christmas event in Downing Street during Covid restrictions https://t.co/Fw4sTFVZix
192,Zouma,Animal charity the RSPCA removes West Ham footballer Kurt Zouma's two pet cats after videos of him kicking and slapping one appear on social media https://t.co/zngC5hyIPV
193,people,"Law requiring people in England to isolate when they catch Covid could be scrapped a month early, UK Prime Minister Boris Johnson says https://t.co/lRi6ysGVBd"
194,Scientists,Scientists say they have made major breakthrough in quest to develop practical nuclear fusion https://t.co/4t93C3rCoK
195,0,"Academy Awards nominations revealed, with Jane Campion's The Power of the Dog recognised in 12 Oscar categories https://t.co/HUAyHSv8mX"
196,0,Jacob Rees-Mogg becomes Brexit opportunities minister as UK Prime Minister Boris Johnson begins cabinet reshuffle https://t.co/WcyMIlMXEF
197,0,"Bamber Gascoigne, the original host of TV quiz show University Challenge, has died, aged 87  https://t.co/3bTXkfnypr"
198,The Queen,"The Queen announces she wants Camilla, the Duchess of Cornwall, to be known as Queen when Prince Charles becomes King https://t.co/gKXla8DPni"
199,0,"A little boy whose painstaking rescue from a well gripped Morocco for days has died, the kingdom announced. https://t.co/OamPuhoilq"
200,0,"Five-year-old boy, named locally as Rayan, dies after being rescued from well in Morocco after four days https://t.co/Uxs1rFQ0Tu"
201,Five - year - old boy,"Five-year-old boy taken out of deep well in Morocco after four days trapped inside, but his condition is unknown https://t.co/LW0TXTRSPG"
202,0,Boris Johnson names new No 10 chief of staff and communications head after resignations over Downing Street parties https://t.co/eGEiexsuyn
203,0,"Second senior aide to UK PM Boris Johnson, communications director Jack Doyle, resigns, sources tell BBC https://t.co/vtJiVOtlvN"
204,0,"The DUP's Paul Givan resigns, with the deputy first minister also ejected from office https://t.co/PElwxFyW5f"
205,UK PM Boris Johnson 's policy chief Munira Mirza,"UK PM Boris Johnson's policy chief Munira Mirza quits, condemning his ""inappropriate"" attack on Keir Starmer over Jimmy Savile https://t.co/UIE30qC2gr"
206,0,"Islamic State terror group leader ""taken off the battlefield"" during US raid in Syria, US President Biden says https://t.co/sL1GOq8OIb"
207,0,"Energy bills to rise for millions of people in Britain from April, with average households facing annual increase of £693 

https://t.co/vqxNDRLrg2"
208,0,"US deploying 3,000 troops to eastern Europe amid tensions over a Russian military build-up near Ukraine https://t.co/pfLwM0ga2w"
209,0,"Manchester United footballer Mason Greenwood further arrested on suspicion of sexual assault and making threats to kill

https://t.co/37WYIkVCN8"
210,I,"""I'm sorry for the things we simply didn't get right and also sorry for the way that this matter has been handled""

UK PM Boris Johnson apologises following publication of Sue Gray's findings on No 10 lockdown parties, adding ""I get it and I will fix it""

https://t.co/BYgQDeqjkg https://t.co/V8ewzjfJU8"
211,0,"No 10 hosted several lockdown parties and events that ""should not have been allowed to take place"" - what are the key points of Sue Gray's Downing Street report?  https://t.co/l78dj00tNs"
212,0,"Sue Gray finds ""failures of leadership and judgement"" in Downing Street over lockdown gatherings - and some behaviour was ""difficult to justify"" https://t.co/ZudgQuTfNw"
213,0,Sue Gray’s initial findings on lockdown parties at Downing Street published by UK government https://t.co/ZudgQuTfNw
214,0,"UK Prime Minister Boris Johnson handed results of Sue Gray report into Downing Street parties, ahead of expected public release today https://t.co/mCxtCiRWhA"
215,0,"Boris Johnson and Rishi Sunak confirm National Insurance will rise in April, despite pressure to scrap the increase https://t.co/IGx5jZzt7a"
